,ht,nmt1,nmt2,penmt1,penmt2,pesmt1,pesmt2,pesmt3,smt1,smt2,smt3,src
226,Les parents de Jason lui avaient demandé de le faire .,Les parents de Jason lui avaient demandé de le faire .,Les parents de Jason lui avaient demandé de le faire .,Les parents de Jason lui avaient demandé de le faire .,Les parents de Jason lui avaient demandé de le faire .,Les parents de Jason lui avaient demandé de le faire .,Les parents de Jason lui avaient demandé de le faire .,Les parents de Jason lui ont demandé de le faire .,Les parents de Jason lui avait demandé de le faire .,Les parents de Jason lui avait demandé de le faire .,Jason parents avaient lui a demandé de le faire .,Jason &apos;s parents had asked him to do so .
227,Les dommages collatéraux du suicide affectent tellement de personnes .,Les dommages collatéraux du suicide affecte tant de gens .,Les dommages collatéraux du suicide affecte tant de gens .,Les dommages collatéraux du suicide affectent tant de personnes .,Les dommages collatéraux du suicide affectent tant de gens .,Les dommages collatéraux du suicide affectent beaucoup de gens .,Les dommages collatéraux du suicide affectent tant de personnes .,Les dommages collatéraux du suicide affectent tant de gens .,Les dommages collatéraux de suicide affecte beaucoup de gens .,Les dommages collatéraux du suicide affecte tant de personnes .,Les dommages collatéraux de suicide affecte tant de gens .,The collateral damage of suicide affects so many people .
228,"Je vous pose la question : &quot; Que feriez-vous si un membre de votre famille , un ami ou un être cher était suicidaire ?","Je pose ces questions à vous : Que feriez-vous si votre membre de votre famille , ami ou aimé était suicidaire ?","Je vous pose ces questions : que feriez-vous si votre membre de votre famille , ami ou aimé était suicidaire ?","Je vous pose ces questions à vous : Que feriez-vous si un membre de votre famille , un ami ou un être cher était suicidaire ?","Je vous pose ces questions : que feriez-vous si un membre de votre famille , un ami ou un être aimé était suicidaire ?","Je vous pose ces questions : Que feriez-vous si un membre de votre famille , un ami ou un être cher était suicidaire ?","Alors , je vous pose ces questions : que feriez-vous si un membre de votre famille , un ami ou un proche était suicidaire ?","Je vous pose ces questions : Que feriez-vous si un membre de votre famille , ami ou être aimé était suicidaire ?","Je pose ces questions pour toi : Que feriez-vous si un membre de votre famille , un ami ou un être cher était suicidaire ?","Je pose ces questions à vous poser : Que feriez-vous si un membre de votre famille , un ami ou un proche était suicidaire ?","Je poser ces questions pour vous : Que feriez-vous si votre membre de la famille , ami ou être aimé étais suicidaire ?","I pose these questions to you : What would you do if your family member , friend or loved one was suicidal ?"
229,Que diriez-vous ?,Qu&apos; est-ce que vous diriez ?,Que diriez-vous ?,Que diriez-vous ?,Que diriez-vous ?,Qu&apos; est-ce que vous dites ?,Que diriez-vous ?,Que diriez-vous ?,Qu&apos; est-ce que vous dites ?,Que dirais-tu ?,Que diriez-vous ?,What would you say ?
230,Sauriez-vous quoi dire ? &quot;,Vous savez quoi dire ?,Vous savez quoi dire ?,Sauriez-vous quoi dire ?,Sauriez-vous quoi dire ?,Sauriez-vous quoi dire ?,Sauriez-vous quoi dire ?,Sauriez-vous quoi dire ?,Tu sais quoi dire ?,Voulez-vous savoir ce à dire ?,Est-ce que vous savez quoi dire ?,Would you know what to say ?
231,"D&apos; après mon expérience , il ne s&apos; agit pas uniquement de ce que vous dites , il s&apos; agit d&apos; écouter .","Dans mon expérience , ce n&apos; est pas seulement le discours que vous faites , mais l&apos; écoute .","Dans mon expérience , ce n&apos; est pas seulement le discours que vous faites , mais l&apos; écoute .","Dans mon expérience , ce n&apos; est pas seulement le discours que vous faites , mais l&apos; écoute .","Selon l&apos; expérience que j&apos; ai , le plus important ce n&apos; est pas de discuter mais d&apos; écouter .","D&apos; après mon expérience , vous ne faites pas que parler , mais vous écoutez .","Dans mon expérience , ce n&apos; est pas que la conversation que vous avez , mais l&apos; écoute .","D&apos; après mon expérience , vous ne devez pas seulement parler , mais écouter .","D&apos; après mon expérience , ce n&apos; est pas juste la conversation que vous faites , mais les écouter .","Dans mon expérience , il n&apos; y a pas que la conversation que vous faites , mais l&apos; écoute .","Dans mon expérience , ce n&apos; est pas seulement la parler que vous faites , mais l&apos; écoute .","In my experience , it &apos;s not just the talking that you do , but the listening ."
232,Écouter pour comprendre .,Ecoutez .,Écoutez bien .,Ecoutez pour comprendre .,Écoutez pour comprendre .,L&apos; écoute pour comprendre .,Écouter pour comprendre .,Écouter pour comprendre .,Écoutez à comprendre .,Écouter pour comprendre .,Écoutez comprendre .,Listen to understand .
233,"Ne discutez pas , n&apos; accusez pas , ne leur dites pas que vous savez ce qu&apos; ils ressentent , parce que vous ne le savez probablement pas .","Ne débattez pas , blâmez , ou dites à la personne que vous savez ce qu&apos; ils ressentent , parce que vous n&apos; en avez probablement pas .","Ne pas , , ou dites à la personne que vous savez ce qu&apos; ils ressentent , parce que vous ne le savez probablement pas .","Ne débattez pas , ne blâmez pas la personne ou ne lui dites pas que vous savez ce qu&apos; elle ressent , parce que vous ne le savez probablement pas .","Abstenez-vous de discuter avec cette personne , de la blâmer ou de lui dire que vous savez ce qu&apos; elle ressent , parce que vous ne le savez probablement pas .","Ne discutez pas , ne blâmez pas , ou ne dites pas à la personne que vous savez ce qu&apos; ils ressentent , parce que vous ne le savez probablement pas .","Ne vous disputez pas , ne blâmez pas ou ne dîtes pas à la personne que vous savez comment elle se sent parce que vous ne le savez probablement pas .","Ne contredites pas , ne blâmez pas , ou ne dites pas à la personne que vous savez comment elle se sent , parce que vous ne savez probablement pas .","Ne discute pas , dites à la personne responsable , ou tu sais ce qu&apos; ils ressentent , parce que vous n&apos; avez probablement pas .","Ne vous disputez pas , le blâme , ou dire à la personne que vous savez comment ils se sentent , parce que vous faites probablement pas .","Ne contredis pas , blâmer , ou faire la personne que vous savez comment ils se sentent , parce que vous ne probablement pas .","Don &apos;t argue , blame , or tell the person you know how they feel , because you probably don &apos;t ."
234,"En étant simplement là , vous pourriez tout simplement être le déclencheur dont ils ont besoin .","En étant là , vous pourriez être le tournant dont ils ont besoin .","En étant là , vous pouvez juste être le tournant dont ils ont besoin .","Juste en étant présent , vous pourriez être le tournant dont ils ont besoin .","En étant là , vous pouvez juste être le tournant dont ils ont besoin .","Uniquement grâce à votre présence , vous pouvez être la personne qui peut susciter un sursaut salutaire chez elle .","Juste en étant là , vous pouvez simplement être le point tournant dont ils ont besoin .","En étant juste là , vous pouvez juste être le tournant dont elle a besoin .","En étant seulement là , vous pourriez juste être le tournant dont ils ont besoin .","En juste être là , vous pouvez simplement être le point tournant dont ils ont besoin .","En juste être là , vous pouvez juste être le tournant dont ils ont besoin .","By just being there , you may just be the turning point that they need ."
235,"Si vous pensez que quelqu&apos; un est suicidaire , n&apos; ayez pas peur de lui faire face , de lui poser des questions .","Si vous pensez que quelqu&apos; un est suicidaire , n&apos; ayez pas peur de les affronter et de poser la question .","Si vous pensez que quelqu&apos; un est suicidaire , n&apos; ayez pas peur de les affronter et de poser la question .","Si vous pensez que quelqu&apos; un est suicidaire , n&apos; ayez pas peur de l&apos; affronter et de poser la question .","Si vous pensez que quelqu&apos; un est suicidaire , n&apos; ayez pas peur de l&apos; affronter et de lui poser la question .","Si vous pensez que quelqu&apos; un est suicidaire , n&apos; ayez pas peur de les confronter et de poser la question .","Si vous pensez que quelqu&apos; un est suicidaire , n&apos; ayez pas peur de les confronter et de leur poser la question .","Si vous pensez qu&apos; une personne est suicidaire , n&apos; ayez pas peur de lui faire face et de lui poser la question .","Si vous pensez que quelqu &apos; un est suicidaire , n&apos; ayez pas peur de les affronter et de poser la question .","Si vous pensez que quelqu&apos; un est suicidaire , ne pas avoir peur de les affronter et de poser la question .","Si vous pensez que quelqu&apos; un est suicidaire , n&apos; aie pas peur de confronter et poser la question .","If you think someone is suicidal , don &apos;t be afraid to confront them and ask the question ."
236,"Une façon de leur poser des questions est la suivante : &quot; D&apos; autres personnes , dans des circonstances similaires ont pensé à mettre fin à leurs jours ; as-tu déjà eu ce genre de pensées ? &quot;",Une façon de leur poser la question est comme ceci : &quot; D&apos; autres dans des circonstances similaires ont pensé à mettre fin à leur vie ; avez-vous eu ces pensées ? &quot;,"Une façon de leur poser la question est comme ceci : &quot; d&apos; autres dans des circonstances similaires ont pensé à mettre fin à leur vie , avez-vous eu ces pensées ? &quot;",Une façon de leur poser la question est comme ceci : &quot; d&apos; autres dans des circonstances similaires ont pensé à mettre fin à leur vie ; avez-vous eu ces pensées ? &quot;,"Une façon de lui poser la question est comme ceci : &quot; D&apos; autres dans des circonstances similaires ont pensé à mettre fin à leur vie , as-tu eu ces pensées ? &quot;","Une façon de leur poser la question est : &quot; D&apos; autres dans des circonstances semblables ont pensé à mettre fin à leur vie , y as-tu déjà pensé ? &quot;","Vous pouvez lui poser la question en lui disant ceci : &quot; D&apos; autres dans des circonstances similaires ont pensé à mettre fin à leur vie , y as-tu déjà pensé ? &quot;","Une façon de leur poser la question est comme ça : &quot; D&apos; autres dans des circonstances similaires ont pensé mettre fin à leur vie , avez-vous eu ces pensées ? &quot;","Une façon de leur demander la question est comme ça : &quot; D&apos; autres dans des circonstances semblables ont pensé à mettre fin à leur vie , avez-vous eu ces pensées ? &quot;","Une façon de leur poser la question est comme ceci : &quot; D&apos; autres dans des circonstances similaires ont pensé à mettre fin à leur vie , avez-vous eu ces pensées ? &quot;","Une façon de leur poser la question est comme ça : &quot; D&apos; autres dans des circonstances similaires ont pensé à leur vie , avez-vous eu ces pensées ? &quot;",One way of asking them the question is like this : &quot; Others in similar circumstances have thought about ending their life ; have you had these thoughts ? &quot;
237,Confronter la personne sans détour pourrait tout simplement sauver sa vie et être un point tournant pour elle .,Confronter la personne de front pourrait simplement sauver leur vie et être le tournant pour eux .,Faire face à la personne qui peut juste sauver leur vie et être le tournant pour eux .,Confronter la personne de front pourrait simplement lui sauver la vie et susciter un sursaut salutaire chez elle .,Confronter la personne directement peut juste sauver leur vie et être un tournant pour eux .,Faire face à la personne peut lui sauver la vie et être un point tournant pour eux .,Faire face à la personne de front peut juste sauver sa vie et être le point tournant pour eux .,Confronter la personne directement pourrait sauver sa vie et être le tournant pour elle .,Faire face à la personne de front peut juste sauver leur vie et être le point tournant pour eux .,Faire face à la personne de front peut juste sauver leur vie et être le point pour eux tournant .,Confronting la personne en peut juste sauver leur vie et être le tournant pour eux .,Confronting the person head-on may just save their life and be the turning point for them .
238,"Voici d&apos; autres signes à chercher : le désespoir , penser que les choses sont terribles et ne s&apos; amélioreront pas ; l&apos; impuissance , croire qu&apos; il n&apos; y a rien à faire ; un retrait récent de la vie sociale et la perte de l&apos; intérêt en la vie .","Certains autres signes pour chercher : Le désespoir , croire que les choses sont terribles et ne seront jamais meilleures ; impuissance , croire qu&apos; il n&apos; y a rien que vous puissiez faire à ce sujet ; un retrait social récent ; et une perte d&apos; intérêt dans la vie .","Il y a d&apos; autres signes pour chercher : le désespoir , croire que les choses sont terribles et ne vont jamais s&apos; améliorer ; l&apos; impuissance , croire qu&apos; il n&apos; y a rien que vous puissiez faire à ce sujet , un manque de manque social , et une perte d&apos; intérêt dans la vie .","Certains autres signes à rechercher : le désespoir , croire que les choses sont terribles et ne s&apos; amélioreront jamais ; l&apos; impuissance , croire qu&apos; il n&apos; y a rien que vous puissiez faire à ce sujet ; un retrait social récent ; et une perte d&apos; intérêt dans la vie .","Il y a d&apos; autres signes à chercher : le désespoir , croire que les choses sont terribles et ne vont jamais s&apos; améliorer ; l&apos; impuissance , croire qu&apos; il n&apos; y a rien que vous puissiez faire à ce sujet , un retrait social récent , et une perte d&apos; intérêt dans la vie .","Il y a d&apos; autres signes auxquels vous devez prêter attention : le désespoir , le fait de croire que la situation est désespérée et qu&apos; elle ne s&apos; améliorera pas ; l&apos; impuissance , le fait de croire que personne n&apos; y peut rien ; un isolement social récent ; et la perte du goût de vivre .","D&apos; autres signes à rechercher : désespoir , croire que les choses sont terribles et ne vont jamais s&apos; arranger ; impuissance , croire qu&apos; il n&apos; y a rien que vous pouvez faire à ce sujet ; retrait social récent ; et une perte d&apos; intérêt dans la vie .","D&apos; autres signes à chercher : désespoir , croire que les choses sont terribles et ne s&apos; amélioreront jamais ; détresse , penser qu&apos; il n&apos; y a rien que vous puissiez faire ; récent retrait social et une perte d&apos; intérêt pour la vie .","D&apos; autres signes de chercher : désespoir , croyant que les choses sont terribles et ne va jamais aller mieux ; impuissance , croyant qu&apos; il n&apos; y a rien que vous pouvez faire à ce sujet ; récent retrait social ; et une perte d&apos; intérêt dans la vie .","D&apos; autres signes à rechercher : désespoir , croire que les choses sont terribles et ne jamais aller mieux ; impuissance , estimant qu&apos; il n&apos; y a rien que vous pouvez faire à ce sujet ; retrait social récente ; et une perte d&apos; intérêt dans la vie .","D&apos; autres signes à chercher : désespoir , croyant que les choses sont terribles et jamais s&apos; améliorer ; impuissance , pensant qu&apos; il n&apos; y a rien que vous pouvez faire ; récente retrait sociale , et une perte d&apos; intérêt dans la vie .","Some other signs to look for : hopelessness , believing that things are terrible and never going to get better ; helplessness , believing that there is nothing that you can do about it ; recent social withdrawal ; and a loss of interest in life ."
239,"J&apos; ai imaginé cette présentation il y a tout juste quelques jours , et j&apos; ai reçu un e-mail d&apos; une dame dont j&apos; aimerais vous lire la lettre .","J&apos; ai eu cette conférence il y a quelques jours , et j&apos; ai reçu un courriel d&apos; une dame que j&apos; aimerais vous lire sa lettre .","J&apos; ai eu cette conférence il y a quelques jours , et j&apos; ai reçu un email d&apos; une dame que j&apos; aimerais vous lire sa lettre .","J&apos; ai créé cette conférence il y a quelques jours , et j&apos; ai reçu un courriel d&apos; une dame , j&apos; aimerais vous lire sa lettre .",J&apos; ai eu cette conférence il y a quelques jours et j&apos; ai reçu un courrier d&apos; une femme et j&apos; aimerais vous lire sa lettre .,"J&apos; ai trouvé cette discussion juste il y a quelques jours , et j&apos; ai reçu un courriel d&apos; une dame dont j&apos; aimerais vous lire la lettre .","J&apos; ai imaginé ces paroles il y a seulement quelques jours , et j&apos; ai reçu un message électronique de la part d&apos; une dame dont je souhaiterais vous lire la lettre .","J&apos; ai trouvé ce discours il y a quelques jours , et j&apos; ai reçu un e-mail d&apos; une femme dont j&apos; aimerais vous lire la lettre .","J&apos; ai trouvé cette discussion juste il y a quelques jours , et j&apos; ai reçu un courriel d&apos; une dame que j&apos; aimerais vous lire sa lettre .","Je suis venu avec ce discours il y a seulement quelques jours , et je reçu un courriel d&apos; une dame que je voudrais vous lire sa lettre .","J&apos; ai trouvé ce discours il y a quelques jours , et j&apos; ai reçu un e-mail d&apos; une femme que j&apos; aimerais vous lire sa lettre .","I came up with this talk just a couple of days ago , and I received an email from a lady that I &apos;d like to read you her letter ."
240,"Elle a perdu son fils le 19 Janvier de cette année , et elle m&apos; a écrit cet email il y a seulement quelques jours . C&apos; est avec sa permission et sa bénédiction que je vous lis ceci .","Elle a perdu son fils le 19 janvier dernier , et elle m&apos; a écrit ce courriel il y a quelques jours , et c&apos; est avec sa permission et la bénédiction que je vous ai lu .","Elle a perdu son fils le 19 janvier de cette année , et elle m&apos; a écrit cet email il y a quelques jours , et c&apos; est avec sa permission et une bénédiction que je vous ai lue .",Elle a perdu son fils le 19 janvier dernier et elle m&apos; a écrit ce courrier il y a quelques jours et c&apos; est avec sa permission et sa bénédiction que je vous la lis .,"Elle a perdu son fils le 19 janvier de cette année , et elle m&apos; a écrit ce message électronique il y a quelques jours , et c&apos; est avec sa permission et sa bénédiction que je vous vous le lire .","Elle a perdu son fils le 19 janvier de cette année et elle m&apos; a écrit ce mail il y a quelques jours seulement , et c&apos; est avec sa permission et sa bénédiction que je vous lis cela .","Elle a perdu son fils le 19 janvier de cette année , et elle m&apos; a écrit ce courriel il y a seulement quelques jours , et c&apos; est avec sa permission et sa bénédiction que je vous le lis .","Elle a perdu son fils le 19 janvier de cette année , et elle m&apos; a écrit cet email juste il y a quelques jours , et c&apos; est avec sa permission et bénédiction que je lis cela pour vous .","Elle a perdu son fils le 19 janvier de cette année , et elle m&apos; a écrit ce mail juste il y a quelques jours , et c&apos; est avec sa permission et bénédiction que j&apos; ai lu cela pour vous .","Elle a perdu son fils le 19 Janvier de cette année , et elle a écrit ce moi ce courriel il y a seulement quelques jours , et il est avec sa permission et la bénédiction que je lis cela pour vous .","Elle a perdu son fils le de cette année , et elle m&apos; a écrit ce cet email juste il y a quelques jours , et c&apos; est avec sa permission et bénédiction que j&apos; ai lu cela pour vous .","She lost her son on January 19 of this year , and she wrote this me this email just a couple of days ago , and it &apos;s with her permission and blessing that I read this to you ."
241,&quot; Bonjour Kevin . J&apos; imagine que vous êtes à la conférence TED .,"&quot; Salut , Kevin . J&apos; imagine que tu es à la conférence TED .","&quot; Bonjour , Kevin. j&apos; imagine que vous êtes à la conférence TED .","&quot; Salut , Kevin . J&apos; imagine que vous êtes à la conférence TED .","&quot; Bonjour , Kevin . J&apos; imagine que vous êtes à la conférence TED .","&quot; Salut , Kevin . J&apos; imagine que vous êtes à la conférence TED .",&quot; Bonjour Kevin . J&apos; imagine que vous êtes à la Conférence TED .,"&quot; Bonjour , Kevin . J&apos; imagine que vous êtes à la conférence TED .","&quot; Salut , Kevin . J&apos; imagine que vous êtes à la conférence TED .","&quot; Salut , Kevin . J&apos; imagine que vous êtes à la Conférence TED .","&quot; Bonjour , Kevin . J&apos; imagine que vous êtes à la conférence TED .","&quot; Hi , Kevin . I imagine you &apos;re at the TED Conference ."
242,Ça doit être une sacrée expérience d&apos; être là-bas .,Ça doit être l&apos; expérience d&apos; être là .,Ça doit être l&apos; expérience d&apos; être là .,Ça doit être une sacrée expérience d&apos; y être .,Ça doit être une sacrée expérience d&apos; être là .,Ça doit être une véritable expérience d&apos; être là-bas .,Cela doit être une sacrée expérience d&apos; y être .,Ce doit être une expérience extraordinaire d&apos; être là .,Ça doit être tout à fait l&apos; expérience d&apos; être là .,Cela doit être tout à fait l&apos; expérience d&apos; être là .,Ce doit être assez l&apos; expérience d&apos; être là .,That must be quite the experience to be there .
243,Je pense à aller marcher sur le pont ce week-end .,Je pense que je devrais aller marcher le pont ce weekend .,Je pense que je devrais aller marcher le pont ce weekend .,Je pense que je devrais aller marcher sur le pont ce week-end .,Je pense que je devrais aller marcher sur le pont ce weekend .,Je pense que je devrais aller marcher sur le pont ce week-end .,Je pense que je devrais aller me promener sur le pont ce week-end .,Je pense que je devrais aller marcher sur le pont ce weekend .,Je pense que je devrais aller marcher le pont ce week-end .,Je pense que je devrais aller à pied le pont ce week-end .,Je pense que je devrais aller marcher le pont ce weekend .,I &apos;m thinking I should go walk the bridge this weekend .
244,Je voulais seulement vous glisser un mot .,Je voulais juste vous laisser une note .,Je voulais juste vous donner une note .,Je voulais juste vous laisser un mot .,Je voulais juste vous écrire un mot .,Je voulais vous écrire un mot .,Je voulais juste vous déposer un mot .,Je voulais juste vous laisser une note .,Je voulais vous déposer un mot .,Je voulais juste vous déposer une note .,Je voulais juste vous goutte une note .,Just wanted to drop you a note .
245,"J&apos; espère que vous parlerez à beaucoup de gens et qu&apos; ils rentreront chez eux pour en parler à leurs amis , qui en parleront à leurs amis , etc ...","J&apos; espère que vous recevez le mot à beaucoup de gens et ils rentrent à la maison en parler à leurs amis qui parlent à leurs amis , etc.","J&apos; espère que vous le mot à beaucoup de gens et qu&apos; ils rentrent à la maison en parlant de ça à leurs amis qui disent à leurs amis , etc.","J&apos; espère que vous passerez le mot à beaucoup de gens et qu&apos; ils rentrent à la maison en parler à leurs amis qui parlent à leurs amis , etc.","J&apos; espère que vous passerez le mot à beaucoup de gens et qu&apos; ils rentreront à la maison en parlant de ça à leurs amis , qui en parleront à leurs amis , etc.","J&apos; espère que vous passerez le message à beaucoup de gens et qu&apos; ils rentreront chez eux pour en parler à leurs amis qui le répéteront à leurs amis , etc.","J&apos; espère que vous transmettrez le message à beaucoup de gens et qu&apos; ils rentreront chez eux en parler à leurs amis qui en parlerons à leurs amis , etc.","J&apos; espère que vous ferez passer ce mot à beaucoup de gens et qu&apos; ils rentreront chez eux pour en parler à leurs amis qui en parleront à leur tour à leurs propres amis , etc.","J&apos; espère que vous aurez le mot à beaucoup de gens et qu&apos; ils rentrent chez eux en parler à leurs amis qui disent à leurs amis , etc.","Espérons que vous obtenez le mot à beaucoup de gens et ils vont à la maison en parler à leurs amis qui disent leurs amis , etc.","Hope vous obtenez le mot pour beaucoup de gens et ils rentrer en parler à leurs amis qui parleront à leurs amis , etc.","Hope you get the word out to many people and they go home talking about it to their friends who tell their friends , etc ."
246,"Je suis toujours apathique mais de plus en plus souvent , je réalise que Mike ne reviendra pas à la maison .","Je suis encore assez engourdie , mais remarquez plus de moments de vraiment réaliser que Mike ne rentre pas à la maison .","Je suis encore assez , mais remarquez plus de moments de vraiment réaliser que Mike ne rentre pas à la maison .","Je suis encore assez engourdie , mais je remarque plus de moments où je réalise vraiment que Mike ne rentrera pas à la maison .","Je suis encore assez engourdie , mais je remarque plus de moments où je réalise vraiment que Mike ne rentrera pas à la maison .","Je suis encore assez anéantie , mais je commence à réaliser que Mike ne rentrera pas .",Je suis encore assez engourdie mais il y a plus de moments où je réalise vraiment que Mike ne rentrera pas à la maison .,"Je suis toujours assez anesthésiée , mais en remarquant plus de moments où je réalise vraiment que Mike ne rentre pas chez moi .","Je suis encore assez insensible , mais remarquer plus de moments de vraiment réaliser Mike ne va pas rentrer .","Je suis encore assez engourdi , mais remarquant plus de moments de vraiment réaliser Mike ne rentre à la maison .","Je suis toujours assez , mais remarquer plus moments de vraiment réaliser Mike n&apos; est pas rentrer chez moi .","I &apos;m still pretty numb , but noticing more moments of really realizing Mike isn &apos;t coming home ."
247,Mike avait pris la route depuis Petaluma vers San Francisco pour aller voir le match des 49ers avec son père le 19 Janvier .,Mike conduisait de Petama à San Francisco pour regarder le match des 49 ans avec son père le 19 janvier .,Mike conduisait de à San Francisco pour voir le match de avec son père le 19 janvier .,Mike conduisait de Petaluma à San Francisco pour regarder le match des 49ers avec son père le 19 janvier .,Mike conduisait de Petaluma vers San Francisco pour voir le 49eme match avec son père le 19 janvier .,Mike conduisait de Petaluma à San Francisco pour regarder le match des 49ers avec son père le 19 janvier .,Mike conduisait pour aller de Petaluma à San Francisco pour voir le match des 49ers avec son père le 19 janvier .,Mike conduisait de Petaluma à San Francisco pour regarder les 49è jeux avec son père le 19 janvier .,Mike conduisait de Petaluma à San Francisco 49ers pour regarder le match avec son père le 19 janvier .,Mike a été conduite de Petaluma à San Francisco pour regarder le match de 49ers avec son père le 19 Janvier .,Mike conduisait de Petaluma à San Francisco pour regarder les 49ers jeu avec son père le 19 janvier .,Mike was driving from Petaluma to San Francisco to watch the 49ers game with his father on January 19 .
248,Qu&apos; est-ce que la réalité augmentée et le football professionnel ont à voir avec l&apos; empathie ?,Qu&apos; est-ce que la réalité augmentée et le football professionnel ont à voir avec l&apos; empathie ?,Qu&apos; est-ce que la réalité augmentée et le football professionnel ont à voir avec l&apos; empathie ?,Qu&apos; est-ce que la réalité augmentée et le football professionnel ont à voir avec l&apos; empathie ?,"Quel rapport y a - t - il entre la réalité augmentée , le football professionnel et l&apos; empathie ?",Qu&apos; est-ce que la réalité augmentée et le football professionnel a à voir avec l&apos; empathie ?,Qu&apos; est-ce que la réalité augmentée et le football professionnel ont à voir avec l&apos; empathie ?,Qu&apos; est-ce que la réalité augmentée et le football professionnel ont à voir avec l&apos; empathie ?,Qu&apos; est-ce que la réalité augmentée et le football professionnel a à voir avec l&apos; empathie ?,Que font la réalité augmentée et le football professionnel ont à voir avec l&apos; empathie ?,Qu&apos; est-ce la réalité augmentée et le football professionnel a à voir avec l&apos; empathie ?,What do augmented reality and professional football have to do with empathy ?
249,Et quelle est la vitesse de vol d&apos; une hirondelle en vol libre ?,Et quelle est la vitesse de vitesse de l&apos; air d&apos; un avaler non chargé ?,Et quelle est la vitesse de vitesse de l&apos; air d&apos; un ?,Et quelle est la vitesse de vol d&apos; une hirondelle ?,Et à quelle vitesse vole une hirondelle non chargée ?,Et quelle est la vélocité aérienne d&apos; une hirondelle égarée ?,Et quelle est la vitesse dans les airs d&apos; une hirondelle égarée ?,Et quelle est la vitesse de l&apos; air d&apos; une hirondelle non chargée ?,Et quelle est la vitesse de la vitesse d&apos; avaler ?,Et quelle est la vitesse de vitesse d&apos; air d&apos; une hirondelle égarée ?,Et quelle est la vitesse de l&apos; air vitesse d&apos; un unladen avaler ?,And what is the air speed velocity of an unladen swallow ?
250,"Malheureusement , je ne vais répondre qu&apos; à une de ces questions aujourd&apos; hui , alors s&apos; il vous plaît , essayez de cacher votre déception .","Malheureusement , je ne vais pas répondre à une de ces questions aujourd&apos; hui , alors s&apos; il vous plaît , essayez de contenir votre déception .","Malheureusement , je ne vais pas répondre à une de ces questions aujourd&apos; hui , donc s&apos; il vous plaît , essayez de contenir votre déception .","Malheureusement , je ne vais pas répondre à l&apos; une de ces questions aujourd&apos; hui , alors veuillez cacher votre déception .","Malheureusement , je ne vais répondre qu&apos; à une de ces questions aujourd&apos; hui , donc s&apos; il vous plaît , essayez de contenir votre déception .","Maintenant , malheureusement , je ne répondrais qu&apos; à une de ces questions aujourd&apos; hui , donc s&apos; il vous plaît , essayez de contenir votre déception .","Alors , malheureusement , je vais seulement répondre à une de ces questions aujourd&apos; hui , alors s&apos; il vous plaît , essayez de contenir votre déception .","Malheureusement , je ne vais répondre qu&apos; à une de ces questions aujourd&apos; hui , donc s&apos; il vous plaît , essayer de contenir votre déception .","Maintenant , malheureusement , je vais seulement pour répondre à une de ces questions aujourd &apos; hui , donc s&apos; il vous plaît , essayer de contenir votre déception .","Maintenant , malheureusement , je vais seulement répondre à une de ces questions aujourd&apos; hui , alors s&apos; il vous plaît , essayer de contenir une déception .","Malheureusement , je vais juste pour répondre à une de ces questions aujourd&apos; hui , donc s&apos; il vous plaît , essayer de contenir votre déception .","Now unfortunately , I &apos;m only going to answer one of those questions today , so please , try and contain your disappointment ."
